ORDER;AGE50PL;CUSTID;TSLBO;GENDER;CKBK068;CKBK082;CKBK177;CKBK211;TPAID
0;0;41064016;4;3;1;0;0;0;1
0;0;300848446;4;2;0;1;0;0;1
0;0;501570648;5;1;0;0;0;0;5
0;0;987701342;4;3;0;0;0;0;2
0;0;494717469;3;1;0;0;0;0;1
0;0;486751426;6;2;0;0;0;0;1
0;0;586940530;11;3;0;0;0;1;1
0;0;485812915;3;1;0;0;0;0;1
0;0;182227682;1;1;0;0;0;0;1
0;0;907546284;2;3;0;0;0;0;4
1;0;435147663;6;1;0;0;0;0;2
0;0;492664699;5;1;0;0;0;0;4
0;0;828596941;4;3;0;1;0;0;1
0;0;102035683;2;3;0;0;0;0;2
0;0;85872671;7;2;0;0;1;0;2
0;0;357150267;3;3;0;0;0;0;1
0;0;233332870;2;1;0;0;1;0;5
0;0;588420057;4;1;0;0;0;0;1
0;0;821828009;2;1;0;0;0;0;1
0;0;345282412;5;1;0;0;0;0;1
0;0;913256464;7;1;0;0;0;0;1
0;0;195746260;1;3;0;0;0;0;6
0;0;67098451;2;1;0;0;0;0;1
0;0;574847556;2;3;0;0;0;0;6
0;0;478968144;2;3;0;0;0;0;1
0;0;4024862;4;3;0;1;0;0;1
0;0;601332521;7;2;0;0;0;0;1
0;0;951574385;2;2;0;0;0;0;1
0;0;234051470;5;1;0;0;0;0;1
0;0;595021506;4;1;0;0;0;0;1
1;0;704921975;2;3;1;0;1;1;4
0;0;471718376;9;3;0;0;0;0;1
0;0;679768306;9;2;0;0;0;0;2
0;0;951157832;2;3;0;0;1;1;2
0;0;554255156;1;2;0;1;0;0;2
0;0;904326932;2;3;0;0;0;0;2
0;0;44656771;7;1;0;0;0;0;1
0;0;267183146;3;3;0;0;0;0;4
0;0;396623998;1;1;1;0;0;1;3
0;0;818778140;8;3;0;0;0;0;1
0;0;439024966;3;2;0;0;1;0;1
0;0;843114676;4;3;1;1;0;1;3
0;0;968152472;7;2;1;0;0;0;5
0;0;172470921;1;3;0;0;0;0;1
0;0;878277914;2;1;0;0;0;0;4
0;0;721519957;7;1;0;0;0;0;1
0;0;264464930;7;3;1;0;0;0;3
0;0;598766316;2;3;0;0;0;0;1
0;0;438895611;3;2;1;0;0;0;1
0;0;418687884;3;1;0;0;1;1;2
1;0;269667121;1;1;0;0;0;0;3
0;0;996419271;1;2;0;0;0;0;2
0;0;591524111;1;3;0;0;0;0;1
0;0;659260007;10;1;0;0;0;0;1
0;0;640605296;3;3;0;0;0;0;1
0;0;128880515;3;3;0;0;0;0;1
0;0;309609114;3;2;0;0;0;0;1
0;0;631240825;2;3;0;0;0;0;2
0;0;540137874;1;3;0;0;0;0;1
0;0;346632970;2;3;0;0;1;0;1
0;0;482811354;5;1;1;0;1;0;1
0;0;867467837;7;1;0;0;0;0;1
0;0;170605160;2;2;0;0;0;0;3
0;0;726565192;3;1;0;1;0;1;2
0;0;949878009;3;3;0;0;0;0;1
0;0;82450193;5;3;0;0;0;0;1
0;0;967684347;4;1;0;1;0;0;2
0;0;82068338;8;2;0;0;0;0;2
1;0;628939728;3;3;0;0;0;0;1
